Time,,Differential Pressure (PSI),,,,Absolute Pressure,,,Temperature (degC),,,,Inputs,,
Time Stamp,Time Elapsred (hrs),Section 1,Section 2,Section 3,Section 4,Inlet,Outlet,Confining,Room,Pore,Jacket,,Temp Setpoint (deg C),Pump Setpoint (PSI),Brine Salinity (%)
1/31/2020 14:08,47.52,-6.29005146,2.49687203,-2.19684273,-0.54800393,1436.723748,1242.129758,1984.859763,8.03489361,8.15327636,8.0499485,,,,
08:43.7,47.52,-6.27558851,2.47799197,-2.20228119,-0.5478895,1436.74943,1242.132734,1984.859763,8.02443457,9.63414583,8.11312065,,,,
08:43.7,47.52,-6.28030404,2.43887451,-2.1961473,-0.54799051,1436.704604,1242.097596,1984.859763,7.99053664,9.10573854,8.19832878,,,,
08:45.5,47.52,-6.31645338,2.41736498,-2.18755283,-0.54935032,1436.823832,1242.137146,1984.859763,8.01138439,8.92475204,8.1542778,,,,
08:48.5,47.52,-6.34147047,2.40713321,-2.17254413,-0.55351919,1436.976695,1242.084195,1984.859763,8.04796705,9.13143539,8.19085846,,,,
13:31.8,47.60,-8.80389105,3.34638321,-2.24209177,0.53704989,1440.362239,1242.299749,1984.859763,8.35303164,8.77059726,8.04583867,,,,
18:30.1,47.68,-12.22145275,4.7153188,-2.94127612,1.62099278,1450.215582,1243.137305,1984.859763,9.67832127,8.97413974,8.36370048,,,,
23:28.4,47.76,-10.49160704,5.70360007,-4.10875042,1.14024522,1458.996935,1244.493162,1984.859763,10.94197969,9.20326596,8.37392546,,,,
28:26.6,47.84,-2.32992766,6.83552178,-4.91627676,0.26526493,1466.323183,1246.384421,1984.859763,11.47086773,9.21376521,8.52500763,,,,
33:24.9,47.93,0.00945347,4.89343127,-1.04218913,-2.78052862,1466.835495,1247.438816,1984.859763,11.15420182,9.85110805,8.59675405,,,,
38:23.1,48.01,1.58133824,2.46199451,1.4878287,-3.26540871,1464.680097,1248.293439,1984.859763,10.81279541,9.38431978,8.60986687,,,,
