,Other,HV-3 Phoenix,Polito,10Hz,01/27/2020 14:59:24.1648,,C:\Users\IGadmin\Desktop\hwrp07_testing.csv
Time Stamp,Differential Pressure 1 (psid),Differential Pressure 2 (psid),Differential Pressure 3 (psid),Differential Pressure 4 (psid),Inlet Pressure (psia),Outlet Pressure (psia),Confining Pressure (psia),Room Temp. (C), Pore Temp (C),Jacket Temp (C), Cumulative Gas Flow (cm3),Cumulative Mass (g),QX Rate (ml/min),QX Pressure (psi),QX Cyl 1 Volume (ml),Cyl 2 Volume (ml),QX Cumulative Volume (ml), (Differential Pressure 1 (VDC),Differential Pressure 1 (VDC),Differential Pressure 1 (VDC),Differential Pressure 1 (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC),Confining Pressure (VCD)
01/27/2020 14:59:24.1678,  12.85444026,   0.17098926,   3.10647545,  -1.13267842, 650.62767456, 648.36797611,1258.30583169,   7.63799191,   9.91681347,   6.18094358,   0.00000000,   0.00000000,  -0.00137000,1249.95413818,   7.57023740, 897.16497803, 897.16497803,   4.73677077,   3.06816750,   3.49140682,   2.89864933,   2.31775985,   2.31120801,   3.53835566,   0.00000000
01/27/2020 14:59:24.1688,  12.85721962,   0.16959202,   3.10110707,  -1.31822580, 650.58096117, 648.35515634,1258.30560652,   7.65232806,   9.54037151,   6.22483478,   0.00000000,   0.00000000,  -0.00000000,1249.90913086,   7.57024136, 897.16497803, 897.16497803,   4.73712497,   3.06799042,   3.49072566,   2.87491355,   2.31766601,   2.31118224,   3.53835521,   0.00000000
01/27/2020 14:59:24.1688,  12.86095126,   0.16770528,   3.09614607,  -1.38699577, 650.61325465, 648.44106423,1258.40922253,   7.64744816,   9.26562996,   6.22698369,   0.00000000,   0.00000000,   0.00081700,1249.93314209,   7.57028556, 897.16497803, 897.16497803,   4.73760052,   3.06775131,   3.49009619,   2.86611629,   2.31773088,   2.31135495,   3.53856366,   0.00000000
01/27/2020 14:59:24.1688,  12.86157501,   0.16234944,   3.09301750,  -1.35003134, 650.50344971, 648.38657131,1258.32005326,   7.72174320,   8.55186996,   6.19638386,   0.00000000,   0.00000000,  -0.00123050,1250.05830078,   7.57030244, 897.16497803, 897.16497803,   4.73768001,   3.06707256,   3.48969922,   2.87084489,   2.31751029,   2.31124539,   3.53838427,   0.00000000
01/27/2020 14:59:24.1698,  12.86407711,   0.15659532,   3.08858770,  -1.30837002, 650.54939166, 648.31941278,1258.33792504,   7.75309978,   7.97933493,   6.17449646,   0.00000000,   0.00000000,   0.00245350,1249.79981689,   7.57023506, 897.16497803, 897.16497803,   4.73799887,   3.06634333,   3.48913715,   2.87617433,   2.31760259,   2.31111038,   3.53842022,   0.00000000
01/27/2020 14:59:24.9858,  12.86595733,   0.15044746,   3.08759031,  -1.27912157, 650.60815130, 648.26883338,1258.31422242,   7.78342848,   8.20120740,   6.15333347,   0.00000000,   0.00000000,   0.00109100,1249.88865967,   7.57032747, 897.16497803, 897.16497803,   4.73823848,   3.06556420,   3.48901060,   2.87991588,   2.31772063,   2.31100869,   3.53837254,   0.00000000
01/27/2020 14:59:27.9650,  12.87577679,   0.14447549,   3.08700687,  -1.25231130, 650.54091773, 648.35622367,1258.47422696,   7.74852347,   7.61973290,   6.14494729,   0.00000000,   0.00000000,  -0.00013700,1249.90495605,   7.57038713, 897.16497803, 897.16497803,   4.73948984,   3.06480737,   3.48893657,   2.88334553,   2.31758556,   2.31118438,   3.53869443,   0.00000000
01/27/2020 15:00:36.5559,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.60978082,1244.65703038,   6.79500017, 896.38948757, 896.38948757,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:06.3856,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.05596310,1251.35677368,   6.73805307, 896.33253235, 896.33253235,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:12.3420,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.18418925,1251.29224854,   6.70134566, 896.29593811, 896.29593811,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:15.3362,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.18682050,1250.83411865,   6.68834095, 896.28250122, 896.28250122,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:18.3143,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.18045000,1250.50281982,   6.67951093, 896.27379150, 896.27379150,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:21.3405,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -7.90000000,  -0.16274300,1249.93126221,   6.67091823, 896.26538086, 896.26538086,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:24.3337,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.12892050,1249.08842773,   6.66278048, 896.25709229, 896.25709229,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:27.3118,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.09322750,1248.42418213,   6.65749106, 896.25188599, 896.25188599,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:30.2900,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.06751800,1248.04030762,   6.65372629, 896.24859619, 896.24859619,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:33.2682,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.03674300,1247.84459229,   6.65133681, 896.24558716, 896.24558716,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
01/27/2020 15:01:36.2623,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,  -0.30000000,  -0.00663250,1247.72593994,   6.65024195, 896.24499512, 896.24499512,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
