,Other,HV-3 Phoenix,Polito,10Hz,01/31/2020 14:08:43.6561,,C:\Users\IGadmin\Desktop\hwrp07_perm2.csv
Time Stamp,Differential Pressure 1 (psid),Differential Pressure 2 (psid),Differential Pressure 3 (psid),Differential Pressure 4 (psid),Inlet Pressure (psia),Outlet Pressure (psia),Confining Pressure (psia),Room Temp. (C), Pore Temp (C),Jacket Temp (C), Cumulative Gas Flow (cm3),Cumulative Mass (g),QX Rate (ml/min),QX Pressure (psi),QX Cyl 1 Volume (ml),Cyl 2 Volume (ml),QX Cumulative Volume (ml), (Differential Pressure 1 (VDC),Differential Pressure 1 (VDC),Differential Pressure 1 (VDC),Differential Pressure 1 (VDC),Inlet Pressure (VDC),Outlet Pressure (VDC),Confining Pressure (VCD)
01/31/2020 14:08:43.6631,  -6.29005146,   2.49687203,  -2.19684273,  -0.54800393,1436.72374760,1242.12975780,1984.85976297,   8.03489361,   8.15327636,   8.04994850,   0.00000000,  51.60000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   2.29704964,   3.36293004,   2.81849937,   2.97344267,   3.89693193,   3.50491498,   4.99999952,   0.00000000
01/31/2020 14:08:43.6631,  -6.27558851,   2.47799197,  -2.20228119,  -0.54788950,1436.74943047,1242.13273445,1984.85976297,   8.02443457,   9.63414583,   8.11312065,   0.00000000,  51.50000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   2.29889276,   3.36053734,   2.81780932,   2.97345731,   3.89698353,   3.50492096,   4.99999952,   0.00000000
01/31/2020 14:08:43.6631,  -6.28030404,   2.43887451,  -2.19614730,  -0.54799051,1436.70460413,1242.09759571,1984.85976297,   7.99053664,   9.10573854,   8.19832878,   0.00000000,  51.50000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   2.29829183,   3.35557992,   2.81858761,   2.97344439,   3.89689348,   3.50485032,   4.99999952,   0.00000000
01/31/2020 14:08:45.5202,  -6.31645338,   2.41736498,  -2.18755283,  -0.54935032,1436.82383246,1242.13714607,1984.85976297,   8.01138439,   8.92475204,   8.15427780,   0.00000000,  51.70000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   2.29368505,   3.35285399,   2.81967812,   2.97327044,   3.89713299,   3.50492983,   4.99999952,   0.00000000
01/31/2020 14:08:48.5144,  -6.34147047,   2.40713321,  -2.17254413,  -0.55351919,1436.97669537,1242.08419483,1984.85976297,   8.04796705,   9.13143539,   8.19085846,   0.00000000,  51.70000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   2.29049695,   3.35155730,   2.82158248,   2.97273715,   3.89744008,   3.50482337,   4.99999952,   0.00000000
01/31/2020 14:13:31.8206,  -8.80389105,   3.34638321,  -2.24209177,   0.53704989,1440.36223856,1242.29974938,1984.85976297,   8.35303164,   8.77059726,   8.04583867,   0.00000000,  51.40000000,   0.04278403,1242.29246929,   0.23802731, 888.00762387, 888.00762387,   1.97669287,   3.47058983,   2.81275798,   3.11224606,   3.90424122,   3.50525673,   4.99999952,   0.00000000
01/31/2020 14:18:30.0796, -12.22145275,   4.71531880,  -2.94127612,   1.62099278,1450.21558184,1243.13730471,1984.85976297,   9.67832127,   8.97413974,   8.36370048,   0.00000000,  51.40000000,   0.04999282,1464.58227283,   0.27869966,1037.87274841,1037.87274841,   1.54116825,   3.64407705,   2.72404252,   3.25090733,   3.92403540,   3.50694056,   4.99999952,   0.00000000
01/31/2020 14:23:28.3557, -10.49160704,   5.70360007,  -4.10875042,   1.14024522,1458.99693455,1244.49316175,1984.85976297,  10.94197969,   9.20326596,   8.37392546,   0.00000000,  51.20000000,   0.04999163,1458.74432874,   0.27709093,1038.12177734,1038.12177734,   1.76161501,   3.76932339,   2.57590844,   3.18940864,   3.94167608,   3.50966640,   4.99999952,   0.00000000
01/31/2020 14:28:26.6157,  -2.32992766,   6.83552178,  -4.91627676,   0.26526493,1466.32318319,1246.38442097,1984.85976297,  11.47086773,   9.21376521,   8.52500763,   0.00000000,  51.20000000,   0.04999228,1453.15853870,   0.27646348,1038.37066150,1038.37066150,   2.80171688,   3.91277349,   2.47344608,   3.07747850,   3.95639363,   3.51346861,   4.99999952,   0.00000000
01/31/2020 14:33:24.8608,   0.00945347,   4.89343127,  -1.04218913,  -2.78052862,1466.83549529,1247.43881638,1984.85976297,  11.15420182,   9.85110805,   8.59675405,   0.00000000,  51.50000000,   0.04999116,1448.59826624,   0.27610300,1038.61943054,1038.61943054,   3.09984115,   3.66664951,   2.96500671,   2.68785133,   3.95742280,   3.51558838,   4.99999952,   0.00000000
01/31/2020 14:38:23.1209,   1.58133824,   2.46199451,   1.48782870,  -3.26540871,1464.68009679,1248.29343907,1984.85976297,  10.81279541,   9.38431978,   8.60986687,   0.00000000,  51.60000000,   0.04999342,1445.38459827,   0.27582841,1038.86821155,1038.86821155,   3.30015780,   3.35850996,   3.28602607,   2.62582399,   3.95309286,   3.51730653,   4.99999952,   0.00000000
01/31/2020 14:43:21.3649,   2.87954417,   1.00300604,   3.21515023,  -3.67218114,1462.37021133,1249.07436183,1984.85976297,  10.38060089,   9.04839170,   8.57201319,   0.00000000,  51.60000000,   0.04999211,1440.00502148,   0.27542019,1039.11721509,1039.11721509,   3.46559757,   3.17361020,   3.50519594,   2.57378842,   3.94845258,   3.51887650,   4.99999952,   0.00000000
01/31/2020 14:48:19.5940,   3.62594999,   0.20055762,   3.94237467,  -3.55936513,1460.04374321,1249.95483575,1984.85976297,   9.92812193,  10.06897562,   8.62246425,   0.00000000,  51.60000000,   0.04999266,1430.68063586,   0.27474802,1039.36608130,1039.36608130,   3.56071747,   3.07191474,   3.59746925,   2.58822019,   3.94377899,   3.52064662,   4.99999952,   0.00000000
01/31/2020 14:53:17.8220,   3.61905126,   0.05888763,   4.01434337,  -3.24014580,1458.16606197,1250.65547981,1984.85976297,   9.71137434,   9.65027740,   8.48483978,   0.00000000,  51.60000000,   0.04999073,1422.04328357,   0.27409349,1039.61481018,1039.61481018,   3.55983832,   3.05396069,   3.60660095,   2.62905570,   3.94000695,   3.52205521,   4.99999952,   0.00000000
01/31/2020 14:58:16.0511,   3.22568123,   0.29577759,   3.60052113,  -2.85681350,1456.74376895,1251.37415160,1984.85976297,   9.41612317,   9.75447214,   8.56063812,   0.00000000,  51.60000000,   0.04999405,1415.76237646,   0.27357801,1039.86356628,1039.86356628,   3.50970833,   3.08398210,   3.55409343,   2.67809273,   3.93714974,   3.52350003,   4.99999952,   0.00000000
01/31/2020 15:03:14.2961,   3.88346949,  -0.03827513,   4.43506135,  -3.63096667,1454.78299033,1252.07138841,1984.85976297,   9.28659513,   9.62950703,   8.49911746,   0.00000000,  51.70000000,   0.04999063,1411.47726233,   0.27322849,1040.11250244,1040.11250244,   3.59353504,   3.04164711,   3.65998342,   2.57906070,   3.93321077,   3.52490177,   4.99999952,   0.00000000
01/31/2020 15:08:12.5552,   4.10391974,  -0.36087247,   4.44230340,  -3.26842172,1452.60351759,1252.86462455,1984.85976297,   9.08214752,   9.39732381,   8.46425167,   0.00000000,  51.40000000,   0.04999156,1410.96471179,   0.27300385,1040.36141260,1040.36141260,   3.62162861,   3.00076388,   3.66090232,   2.62543856,   3.92883247,   3.52649650,   4.99999952,   0.00000000
01/31/2020 15:13:10.8473,   3.47356766,   0.17351918,   3.77354607,  -2.78653958,1451.27983230,1253.45341402,1984.85976297,   8.94063591,   9.12369553,   8.43133357,   0.00000000,  51.50000000,   0.04999294,1407.79220300,   0.27247387,1040.61018457,1040.61018457,   3.54129829,   3.06848812,   3.57604756,   2.68708239,   3.92617335,   3.52768021,   4.99999952,   0.00000000
01/31/2020 15:18:09.1703,   3.30780375,   0.54458107,   3.42865784,  -2.73147822,1450.26267003,1254.16754826,1984.85976297,   8.82078969,   9.87996271,   8.40619349,   0.00000000,  51.60000000,   0.04999333,1403.06974805,   0.27185195,1040.85908862,1040.85908862,   3.52017379,   3.11551333,   3.53228669,   2.69412600,   3.92412999,   3.52911592,   4.99999952,   0.00000000
01/31/2020 15:23:07.5104,   3.28160597,   0.58740237,   3.34226029,  -2.60431198,1449.21688014,1254.79521212,1984.85976297,   8.72105727,   9.06129299,   8.42031639,   0.00000000,  51.50000000,   0.04999194,1399.41053931,   0.27133550,1041.10801672,1041.10801672,   3.51683522,   3.12094014,   3.52132420,   2.71039349,   3.92202913,   3.53037778,   4.99999952,   0.00000000
01/31/2020 15:28:05.8495,   3.62426057,   0.69757617,   3.25077394,  -2.79055251,1448.17565323,1255.54749615,1984.85976297,   8.61654348,   9.60975859,   8.42575029,   0.00000000,  51.60000000,   0.04998901,1397.36653015,   0.27093186,1041.35702271,1041.35702271,   3.56050217,   3.13490263,   3.50971603,   2.68656904,   3.91993743,   3.53189018,   4.99999952,   0.00000000
01/31/2020 15:33:04.1895,   3.84954289,   0.69967725,   3.35799547,  -2.88047982,1447.12195293,1256.21563456,1984.85976297,   8.54631458,   9.31343712,   8.43906354,   0.00000000,  51.70000000,   0.04999106,1397.44263367,   0.27070747,1041.60592322,1041.60592322,   3.58921153,   3.13516890,   3.52332075,   2.67506526,   3.91782067,   3.53323342,   4.99999952,   0.00000000
01/31/2020 15:38:02.5136,   3.95703227,   0.58249948,   3.42930352,  -2.84000911,1445.76821418,1256.69580796,1984.85976297,   8.47655002,   9.44565353,   8.41101598,   0.00000000,  51.70000000,   0.04999094,1398.85661633,   0.27060159,1041.85472046,1041.85472046,   3.60290968,   3.12031879,   3.53236861,   2.68024240,   3.91510118,   3.53419877,   4.99999952,   0.00000000
